Step, Time, Epot, Ekin, Etot
466, 18.640000, -593754.379131, 5977.312143, -587777.066988
467, 18.680000, -591854.451881, 5976.183900, -585878.267981
468, 18.720000, -590605.695211, 5957.701849, -584647.993362
469, 18.760000, -592899.339263, 5970.671393, -586928.667870
470, 18.800000, -593917.917244, 6022.259893, -587895.657351
471, 18.840000, -591345.232140, 6026.390756, -585318.841384
472, 18.880000, -590464.755031, 5994.045355, -584470.709676
473, 18.920000, -589655.922962, 5964.213674, -583691.709288
474, 18.960000, -588771.184578, 5981.014562, -582790.170015
475, 19.000000, -590894.417749, 5996.898069, -584897.519680
476, 19.040000, -591194.887587, 5963.152468, -585231.735119
477, 19.080000, -593428.199830, 5936.230201, -587491.969629
478, 19.120000, -592137.042070, 5888.746053, -586248.296017
